"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
52,"Yes","Travel_Rarely",266,"Sales",2,1,"Marketing",1038,1,"Female",57,1,5,"Manager",4,"Married",19845,25846,1,"No",15,3,4,1,33,3,3,32,14,6,9
28,"Yes","Travel_Frequently",289,"Research & Development",2,2,"Medical",1504,3,"Male",38,2,1,"Laboratory Technician",1,"Single",2561,5355,7,"No",11,3,3,0,8,2,2,0,0,0,0
31,"No","Non-Travel",1188,"Sales",20,2,"Marketing",947,4,"Female",45,3,2,"Sales Executive",3,"Married",6932,24406,1,"No",13,3,4,1,9,2,2,9,8,0,0
36,"Yes","Travel_Rarely",660,"Research & Development",15,3,"Other",1052,1,"Male",81,3,2,"Laboratory Technician",3,"Divorced",4834,7858,7,"No",14,3,2,1,9,3,2,1,0,0,0
29,"Yes","Travel_Rarely",408,"Sales",23,1,"Life Sciences",1165,4,"Female",45,2,3,"Sales Executive",1,"Married",7336,11162,1,"No",13,3,1,1,11,3,1,11,8,3,10
28,"Yes","Travel_Rarely",529,"Research & Development",2,4,"Life Sciences",364,1,"Male",79,3,1,"Laboratory Technician",3,"Single",3485,14935,2,"No",11,3,3,0,5,5,1,0,0,0,0
52,"No","Non-Travel",585,"Sales",29,4,"Life Sciences",2019,1,"Male",40,3,1,"Sales Representative",4,"Divorced",3482,19788,2,"No",15,3,2,2,16,3,2,9,8,0,0
38,"No","Travel_Rarely",345,"Sales",10,2,"Life Sciences",2041,1,"Female",100,3,2,"Sales Executive",4,"Married",5343,5982,1,"No",11,3,3,1,10,1,3,10,7,1,9
39,"No","Travel_Rarely",1383,"Human Resources",2,3,"Life Sciences",909,4,"Female",42,2,2,"Human Resources",4,"Married",5204,7790,8,"No",11,3,3,2,13,2,3,5,4,0,4
45,"No","Travel_Rarely",194,"Research & Development",9,3,"Life Sciences",206,2,"Male",60,3,2,"Laboratory Technician",2,"Divorced",2348,10901,8,"No",18,3,3,1,20,2,1,17,9,0,15
45,"No","Travel_Frequently",1249,"Research & Development",7,3,"Life Sciences",425,1,"Male",97,3,3,"Laboratory Technician",1,"Divorced",5210,20308,1,"No",18,3,1,1,24,2,3,24,9,9,11
51,"No","Travel_Rarely",942,"Research & Development",3,3,"Technical Degree",1786,1,"Female",53,3,3,"Manager",3,"Married",13116,22984,2,"No",11,3,4,0,15,2,3,2,2,2,2
28,"Yes","Travel_Rarely",529,"Research & Development",2,4,"Life Sciences",364,1,"Male",79,3,1,"Laboratory Technician",3,"Single",3485,14935,2,"No",11,3,3,0,5,5,1,0,0,0,0
48,"No","Travel_Rarely",1355,"Research & Development",4,4,"Life Sciences",1024,3,"Male",78,2,3,"Healthcare Representative",3,"Single",10999,22245,7,"No",14,3,2,0,27,3,3,15,11,4,8
41,"No","Travel_Rarely",447,"Research & Development",5,3,"Life Sciences",1814,2,"Male",85,4,2,"Healthcare Representative",2,"Single",6870,15530,3,"No",12,3,1,0,11,3,1,3,2,1,2
38,"No","Travel_Rarely",168,"Research & Development",1,3,"Life Sciences",743,3,"Female",81,3,3,"Manufacturing Director",3,"Single",7861,15397,4,"Yes",14,3,4,0,10,4,4,1,0,0,0
48,"Yes","Travel_Rarely",626,"Research & Development",1,2,"Life Sciences",64,1,"Male",98,2,3,"Laboratory Technician",3,"Single",5381,19294,9,"Yes",13,3,4,0,23,2,3,1,0,0,0
38,"No","Travel_Rarely",330,"Research & Development",17,1,"Life Sciences",1088,3,"Female",65,2,3,"Healthcare Representative",3,"Married",8823,24608,0,"No",18,3,1,1,20,4,2,19,9,1,9
32,"No","Non-Travel",1184,"Research & Development",1,3,"Life Sciences",951,3,"Female",70,2,1,"Laboratory Technician",2,"Married",2332,3974,6,"No",20,4,3,0,5,3,3,3,0,0,2
36,"No","Travel_Rarely",1425,"Research & Development",14,1,"Life Sciences",924,3,"Male",68,3,2,"Healthcare Representative",4,"Married",6586,4821,0,"Yes",17,3,1,1,17,2,2,16,8,4,11
28,"Yes","Travel_Rarely",890,"Research & Development",2,4,"Medical",828,3,"Male",46,3,1,"Research Scientist",3,"Single",4382,16374,6,"No",17,3,4,0,5,3,2,2,2,2,1
40,"No","Travel_Rarely",1300,"Research & Development",24,2,"Technical Degree",335,1,"Male",62,3,2,"Research Scientist",4,"Divorced",3319,24447,1,"No",17,3,1,2,9,3,3,9,8,4,7
25,"Yes","Travel_Rarely",867,"Sales",19,2,"Marketing",952,3,"Male",36,2,1,"Sales Representative",2,"Married",2413,18798,1,"Yes",18,3,3,3,1,2,3,1,0,0,0
31,"No","Travel_Rarely",311,"Research & Development",20,3,"Life Sciences",1881,2,"Male",89,3,2,"Laboratory Technician",3,"Divorced",4197,18624,1,"No",11,3,1,1,10,2,3,10,8,0,2
34,"No","Travel_Rarely",829,"Human Resources",3,2,"Human Resources",847,3,"Male",88,3,1,"Human Resources",4,"Married",3737,2243,0,"No",19,3,3,1,4,1,1,3,2,0,2
38,"No","Travel_Frequently",693,"Research & Development",7,3,"Life Sciences",1382,4,"Male",57,4,1,"Research Scientist",3,"Divorced",2610,15748,1,"No",11,3,4,3,4,2,3,4,2,0,3
24,"Yes","Travel_Rarely",693,"Sales",3,2,"Life Sciences",720,1,"Female",65,3,2,"Sales Executive",3,"Single",4577,24785,9,"No",14,3,1,0,4,3,3,2,2,2,0
26,"Yes","Travel_Rarely",1146,"Sales",8,3,"Technical Degree",796,4,"Male",38,2,2,"Sales Executive",1,"Single",5326,3064,6,"No",17,3,3,0,6,2,2,4,3,1,2
33,"Yes","Travel_Rarely",587,"Research & Development",10,1,"Medical",584,1,"Male",38,1,1,"Laboratory Technician",4,"Divorced",3408,6705,7,"No",13,3,1,3,8,2,3,4,3,1,3
41,"No","Travel_Rarely",802,"Sales",9,1,"Life Sciences",176,3,"Male",96,3,3,"Sales Executive",3,"Divorced",8189,21196,3,"Yes",13,3,3,1,12,2,3,9,7,0,7
