"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
35,"No","Travel_Rarely",144,"Research & Development",22,3,"Life Sciences",577,4,"Male",46,1,1,"Laboratory Technician",3,"Single",4230,19225,0,"No",15,3,3,0,6,2,3,5,4,4,3
46,"No","Travel_Rarely",430,"Research & Development",1,4,"Medical",1069,4,"Male",40,3,5,"Research Director",4,"Divorced",19627,21445,9,"No",17,3,4,2,23,0,3,2,2,2,2
45,"No","Non-Travel",1050,"Sales",9,4,"Life Sciences",1117,2,"Female",65,2,2,"Sales Executive",3,"Married",5593,17970,1,"No",13,3,4,1,15,2,3,15,10,4,12
50,"No","Travel_Rarely",264,"Sales",9,3,"Marketing",1591,3,"Male",59,3,5,"Manager",3,"Married",19331,19519,4,"Yes",16,3,3,1,27,2,3,1,0,0,0
37,"No","Travel_Rarely",1319,"Research & Development",6,3,"Medical",474,3,"Male",51,4,2,"Research Scientist",1,"Divorced",5974,17001,4,"Yes",13,3,1,2,13,2,3,7,7,6,7
52,"No","Travel_Rarely",699,"Research & Development",1,4,"Life Sciences",259,3,"Male",65,2,5,"Manager",3,"Married",19999,5678,0,"No",14,3,1,1,34,5,3,33,18,11,9
28,"No","Travel_Rarely",895,"Research & Development",15,2,"Life Sciences",1102,1,"Male",50,3,1,"Laboratory Technician",3,"Divorced",2207,22482,1,"No",16,3,4,1,4,5,2,4,2,2,2
34,"No","Travel_Rarely",1346,"Research & Development",19,2,"Medical",18,2,"Male",93,3,1,"Laboratory Technician",4,"Divorced",2661,8758,0,"No",11,3,3,1,3,2,3,2,2,1,2
27,"No","Travel_Rarely",199,"Research & Development",6,3,"Life Sciences",1162,4,"Male",55,2,1,"Research Scientist",3,"Married",2539,7950,1,"No",13,3,3,1,4,0,3,4,2,2,2
53,"No","Non-Travel",661,"Research & Development",1,4,"Medical",1775,1,"Female",60,2,4,"Manufacturing Director",3,"Married",12965,22308,4,"Yes",20,4,4,3,27,2,2,3,2,0,2
32,"No","Travel_Rarely",117,"Sales",13,4,"Life Sciences",859,2,"Male",73,3,2,"Sales Executive",4,"Divorced",4403,9250,2,"No",11,3,3,1,8,3,2,5,2,0,3
